"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"464",14,"Zay Jones",FA,"WR160","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"465",14,"Riley Leonard",IND,"QB47","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"466",14,"Washington Commanders",WAS,"DST29","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"467",14,"Tyler Goodson",ATL,"RB137","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"468",14,"Nick Folk",ATL,"K25","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","0 out of 5 stars","-"
"469",14,"Tanner Hudson",CIN,"TE71","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"470",14,"Ronnie Bell",NO,"WR161","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"471",14,"Salvon Ahmed",CHI,"RB138","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"472",14,"Josh Reynolds",FA,"WR162","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"473",14,"Gardner Minshew II",ARI,"QB48","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-101"
"474",14,"Nate Boerkircher",JAC,"TE72","7","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-87"
"475",14,"Tai Felton",MIN,"WR163","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-91"
"476",14,"Brandon McManus",FA,"K26","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"477",14,"Will Kacmarek",MIA,"TE73","6","Coach Upside rating","Coach Bust rating","5 out of 5 stars","-"
"478",14,"Charlie Kolar",LAC,"TE74","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-213"
"479",14,"Kalel Mullings",TEN,"RB139","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"480",14,"Ben Sauls",NYG,"K27","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"481",14,"Tim Patrick",NYJ,"WR164","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-84"
"482",14,"Clyde Edwards-Helaire",FA,"RB140","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"483",14,"Julian Hill",NE,"TE75","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"484",14,"Frank Gore Jr.",BUF,"RB141","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"485",14,"Donovan Edwards",MIA,"RB142","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"486",14,"Chip Trayanum",NYJ,"RB143","13","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-"
"487",14,"Xavier Restrepo",TEN,"WR165","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
